90;0;3.76;7.34;8.41;10.87;11.6;12.49;13.28;14.07;15.05;15.93;16.72;17.5;17.81;17.99;18.47;18.91;19.47;19.83;20.16;18.14;16.32;9.65
95;0;3.66;7.21;8.27;10.81;11.54;12.69;13.57;14.55;15.54;16.52;17.21;18;18.29;18.49;18.88;19.37;19.84;20.24;20.46;18.44;16.55;9.82
100;0;3.53;7.02;8.05;10.62;11.35;12.61;13.5;14.94;16.03;17.11;17.8;18.51;18.78;18.97;19.26;19.54;20.06;20.46;20.85;18.77;16.87;10
105;0;3.37;6.75;7.75;10.33;11.05;12.39;13.26;14.85;16.28;17.3;18.16;18.76;19;19.25;19.58;19.93;20.42;20.86;21.17;19.06;17.18;10.19
110;0;3.19;6.42;7.38;9.93;10.65;12.04;12.89;14.56;16.17;17.18;18.3;18.85;19.18;19.41;19.87;20.35;20.82;21.24;21.67;19.38;17.44;10.34
115;0;2.98;6.02;6.95;9.43;10.14;11.55;12.38;14.11;15.82;16.81;18.15;18.7;19.37;19.58;20.22;20.75;21.34;21.93;22.22;20;18;10.63
120;0;2.74;5.59;6.46;8.85;9.56;10.95;11.76;13.49;15.25;16.22;17.72;18.28;19.2;19.42;20.06;21.24;21.93;22.61;22.92;20.62;18.56;10.95
125;0;2.51;5.12;5.93;8.21;8.92;10.28;11.04;12.73;14.48;15.42;17.03;17.59;18.69;18.92;19.56;21.03;21.72;23.11;23.5;21.15;19.03;11.24
130;0;2.27;4.65;5.39;7.54;8.23;9.52;10.27;11.86;13.57;14.46;16.09;16.67;17.89;18.12;18.77;20.44;21.14;22.85;24.09;21.68;19.51;11.52
135;0;2.02;4.15;4.83;6.83;7.52;8.73;9.44;10.93;12.52;13.36;14.99;15.58;16.83;17.08;17.73;19.49;20.2;22.13;24.97;22.48;20.22;11.94
140;0;1.78;3.66;4.3;6.14;6.81;7.93;8.6;9.96;11.42;12.2;13.74;14.35;15.58;15.84;16.49;18.25;18.99;20.98;24.55;23.1;20.96;12.26
145;0;1.54;3.2;3.77;5.45;6.13;7.14;7.77;8.98;10.28;11;12.44;13.06;14.2;14.48;15.13;16.81;17.57;19.5;23.35;23.18;20.87;12.32
150;0;1.34;2.77;3.28;4.82;5.49;6.4;7;8.04;9.17;9.84;11.14;11.78;12.78;13.07;13.75;15.27;16.05;17.81;21.5;23.01;20.71;12.23
155;0;1.15;2.38;2.85;4.24;4.9;5.71;6.28;7.18;8.12;8.76;9.9;10.56;11.42;11.72;12.39;13.72;14.53;16.06;19.23;22.14;20.39;12.04
160;0;0.99;2.05;2.47;3.75;4.4;5.11;5.66;6.43;7.2;7.78;8.8;9.45;10.15;10.47;11.15;12.27;13.11;14.38;16.81;19.75;20.07;11.81
165;0;0.86;1.78;2.17;3.34;3.98;4.64;5.15;5.81;6.45;6.99;7.87;8.54;9.1;9.43;10.11;11.04;11.9;12.9;14.54;16.48;18.51;11.37
170;0;0.77;1.58;1.96;3.04;3.69;4.27;4.78;5.34;5.88;6.4;7.17;7.85;8.29;8.63;9.32;10.09;10.96;11.75;12.69;13.22;14.75;11
175;0;0.7;1.46;1.81;2.87;3.5;4.06;4.55;5.06;5.53;6.02;6.74;7.42;7.79;8.13;8.82;9.49;10.38;11.01;11.48;10.83;10.99;10.76
180;0;0.69;1.42;1.77;2.8;3.45;3.99;4.47;4.97;5.41;5.9;6.59;7.28;7.62;7.97;8.65;9.29;10.17;10.76;11.06;9.96;9.43;5.57
