90;0;0.93;1.87;2.33;3.74;4.67;5.6;6.53;7.47;8.4;9.34;10.27;11.2;11.67;12.14;13.07;11.36;11.68;10.01;8.14;4.33;2.87;0
95;0;1.1;2.19;2.75;4.39;5.48;6.58;7.69;8.78;9.88;10.98;12.07;13.17;13.71;14.27;15.36;13.77;14.17;12.52;10.53;6.01;4.12;0
100;0;1.24;2.49;3.12;4.99;6.23;7.48;8.73;9.98;11.22;12.47;13.71;14.97;15.58;16.21;17.46;16.15;16.61;15.15;13.16;8.01;5.69;0
105;0;1.37;2.74;3.42;5.48;6.86;8.22;9.59;10.97;12.33;13.7;15.08;16.45;17.13;17.81;19.19;18.31;18.82;17.71;15.87;10.31;7.56;0
110;0;1.45;2.92;3.65;5.83;7.29;8.75;10.21;11.66;13.12;14.58;16.04;17.42;17.73;17.95;20.41;20.08;20.64;20.04;18.51;12.82;9.72;0
115;0;1.48;2.97;3.71;5.94;7.42;8.91;10.39;11.87;13.35;14.84;16.32;17.57;17.9;18.11;20.77;21.31;21.91;21.92;20.89;15.39;12.05;0
120;0;1.5;3.02;3.77;6.03;7.53;9.05;10.55;12.06;13.57;15.08;16.58;17.63;17.99;18.36;21.1;21.81;22.52;23.23;22.82;17.89;14.44;0
125;0;1.52;3.06;3.83;6.12;7.64;9.18;10.7;12.23;13.76;15.29;16.82;17.72;18.18;18.54;21.41;22.22;23.03;23.73;24.14;20.11;16.75;0
130;0;1.55;3.1;3.88;6.2;7.76;9.3;10.86;12.41;13.96;15.51;17.06;17.88;18.27;18.72;21.71;22.62;23.43;24.34;24.74;21.89;18.81;0
135;0;1.57;3.13;3.92;6.26;7.83;9.39;10.96;12.52;14.09;15.65;17.18;18.08;18.54;19;21.91;22.82;23.93;25.15;25.65;23.09;20.45;0
140;0;1.58;3.16;3.95;6.32;7.9;9.48;11.06;12.63;14.22;15.79;17.2;18.27;18.72;19.27;22.12;23.33;24.44;25.95;26.44;23.72;21.53;0
145;0;1.61;3.22;4.02;6.43;8.04;9.65;11.09;12.45;13.63;15.36;16.83;18.09;18.81;19.42;22.52;23.63;24.54;25.75;26.46;23.81;21.43;0
150;0;1.6;3.2;4.01;6.41;8.01;9.45;10.45;11.54;12.91;14.54;16.08;17.59;18.56;19.36;22.43;23.6;24.64;25.55;26.26;23.63;21.27;0
155;0;1.53;3.04;3.81;6.09;7.6;8.82;9.82;10.82;12;13.27;14.82;16.44;17.5;18.18;21.3;22.72;24.03;25.14;25.85;23.27;20.94;0
160;0;1.43;2.87;3.58;5.73;7.09;8.27;9.27;10.27;11.27;12.18;13.71;15.29;16.22;16.96;20.06;21.41;23.33;24.74;25.45;22.9;20.61;0
165;0;1.36;2.73;3.41;5.45;6.82;7.91;8.91;9.91;10.77;11.64;13.09;14.45;15.39;16.1;19.09;20.6;22.42;23.83;24.44;21.99;19.79;0
170;0;1.3;2.64;3.3;5.28;6.6;7.65;8.63;9.54;10.45;11.26;12.59;14;14.72;15.36;18.48;19.89;21.71;23.02;23.63;21.27;19.14;0
175;0;1.28;2.58;3.23;5.16;6.45;7.45;8.42;9.36;10.18;11.06;12.36;13.72;14.36;15;18.08;19.39;21.21;22.52;23.13;20.81;18.73;0
180;0;1.27;2.53;3.17;5.08;6.35;7.36;8.27;9.18;10;10.91;12.18;13.45;14.09;14.72;17.77;19.09;20.9;22.12;22.72;20.45;18.4;0
